serial_number,material_number,description,family,sub_family,customer_id,customer_name,country,site,install_date,last_verified_date,status,config_cap_format,config_speed,config_jaw_system,config_disc_type,config_volume,config_lane_count,config_capacity,config_buffer_capacity,config_cip_system,config_temp_profile,config_plate_config,config_chiller_type,config_cap_type,config_pressure_bar,config_homog_stage
SN-10001,CBP/A8,Cap Application Unit A8,Downstream,Capping,CUST-002,Amul Dairy,IN,Gandhinagar Plant 2,2010-07-24,2014-01-23,Active,DreamCap26,Standard,,,,,,,,,,,,,
SN-10002,ACC/30,Accumulator 30,Downstream,Distribution,CUST-002,Amul Dairy,IN,Gandhinagar Plant 2,2022-03-26,2023-08-03,Active,,,,,,2.0,,1000.0,,,,,,,
SN-10003,TBA/21,Tetra Brik Aseptic 21,Filling,Aseptic,CUST-004,Arla Foods,SE,Stockholm Dairy,2015-03-21,2018-06-12,Decommissioned,,,Standard,,1000ml,,,,,,,,StreamCap,,
SN-10004,A3/SPEED,Tetra Pak A3/Speed,Filling,High-Speed,CUST-004,Arla Foods,SE,Stockholm Dairy,2020-01-28,2022-11-11,Active,,,SpeedJaw,,1000ml,,,,,,,,StreamCap,,
SN-10005,A3/FLEX,Tetra Pak A3/Flex,Filling,Flexible,CUST-005,Fonterra,NZ,Waikato Processing,2013-06-27,2015-07-11,Active,,,FlexJaw,,250ml,,,,,,,,DreamCap26,,
SN-10006,TBA/21,Tetra Brik Aseptic 21,Filling,Aseptic,CUST-006,Mengniu Dairy,CN,Hohhot Plant 3,2017-09-18,2023-11-12,Decommissioned,,,Standard,,1000ml,,,,,,,,HeliCap27,,
SN-10007,TBA/21,Tetra Brik Aseptic 21,Filling,Aseptic,CUST-007,Lactalis,FR,Laval Facility,2011-10-08,2014-12-03,Active,,,,,1000ml,,,,,,,,HeliCap27,,
SN-10008,TBA/19,Tetra Brik Aseptic 19,Filling,Aseptic,CUST-004,Arla Foods,SE,Stockholm Dairy,2016-06-28,2021-10-01,Active,,,Standard,,200ml,,,,,,,,HeliCap23,,
SN-10009,TP/C3,Tetra Pak C3 Homogenizer,Processing,Homogenizer,CUST-006,Mengniu Dairy,CN,Hohhot Plant 3,2013-08-25,2017-08-22,Active,,,,,,,10000L/h,,,,,,,400.0,Single
SN-10010,TP/D8,Tetra Pak D8 Separator,Processing,Separation,CUST-003,Nestlé Waters,FR,Vittel Factory,2021-12-24,2027-03-27,Active,,,,AirTight,,,5000L/h,,External,,,,,,
SN-10011,CBP/A8,Cap Application Unit A8,Downstream,Capping,CUST-004,Arla Foods,SE,Stockholm Dairy,2017-04-10,2018-08-19,Active,HeliCap23,Standard,,,,,,,,,,,,,
SN-10012,A3/SPEED,Tetra Pak A3/Speed,Filling,High-Speed,CUST-005,Fonterra,NZ,Waikato Processing,2011-06-27,2014-11-13,Active,,,SpeedJaw+,,200ml,,,,,,,,LightCap30,,
SN-10013,A3/SPEED,Tetra Pak A3/Speed,Filling,High-Speed,CUST-008,Mother Dairy,IN,Patparganj Delhi,2013-03-16,2017-02-24,Decommissioned,,,SpeedJaw,,250ml,,,,,,,,HeliCap27,,
SN-10014,A3/SPEED,Tetra Pak A3/Speed,Filling,High-Speed,CUST-007,Lactalis,FR,Laval Facility,2018-02-13,2020-02-20,Active,,,SpeedJaw+,,200ml,,,,,,,,HeliCap27,,
SN-10015,TBA/21,Tetra Brik Aseptic 21,Filling,Aseptic,CUST-003,Nestlé Waters,FR,Vittel Factory,2013-08-03,2018-11-26,Active,,,Standard,,1000ml,,,,,,,,HeliCap27,,
SN-10016,TP/D8,Tetra Pak D8 Separator,Processing,Separation,CUST-008,Mother Dairy,IN,Patparganj Delhi,2021-11-13,2025-11-09,Active,,,,AirTight,,,10000L/h,,Integrated,,,,,,
SN-10017,TBA/21,Tetra Brik Aseptic 21,Filling,Aseptic,CUST-005,Fonterra,NZ,Waikato Processing,2019-10-02,2023-09-14,Decommissioned,,,Standard,,,,,,,,,,HeliCap27,,
SN-10018,TBA/22,Tetra Brik Aseptic 22,Filling,Aseptic,CUST-002,Amul Dairy,IN,Gandhinagar Plant 2,2016-09-10,2019-05-29,Active,,,Enhanced,,,,,,,,,,DreamCap26,,
SN-10019,TBA/22,Tetra Brik Aseptic 22,Filling,Aseptic,CUST-001,Amul Dairy,IN,Anand Plant 1,2023-06-08,2025-09-08,Active,,,Enhanced,,500ml,,,,,,,,StreamCap,,
SN-10020,TCA/67,Tetra Classic Aseptic 67,Filling,Aseptic,CUST-004,Arla Foods,SE,Stockholm Dairy,2011-04-20,2017-09-30,Active,,,Standard,,65ml,,,,,,,,PullTab,,
SN-10021,TP/A6,Tetra Pak A6 Pasteurizer,Processing,Heat Treatment,CUST-003,Nestlé Waters,FR,Vittel Factory,2012-11-17,2016-11-06,Decommissioned,,,,,,,15000L/h,,,UHT,Standard,,,,
SN-10022,TP/D8,Tetra Pak D8 Separator,Processing,Separation,CUST-007,Lactalis,FR,Laval Facility,2014-10-02,2019-12-09,Active,,,,SemiOpen,,,5000L/h,,External,,,,,,
SN-10023,TP/A6,Tetra Pak A6 Pasteurizer,Processing,Heat Treatment,CUST-008,Mother Dairy,IN,Patparganj Delhi,2012-09-18,2017-07-03,Active,,,,,,,5000L/h,,,HTST,Standard,,,,
SN-10024,TP/D8,Tetra Pak D8 Separator,Processing,Separation,CUST-004,Arla Foods,SE,Stockholm Dairy,2023-03-14,2024-11-09,Active,,,,AirTight,,,5000L/h,,Integrated,,,,,,
SN-10025,TBA/21,Tetra Brik Aseptic 21,Filling,Aseptic,CUST-001,Amul Dairy,IN,Anand Plant 1,2017-05-30,2021-07-13,Active,,,Standard,,200ml,,,,,,,,StreamCap,,
SN-10026,TT/3,Tetra Top 3,Filling,Chilled,CUST-003,Nestlé Waters,FR,Vittel Factory,2022-10-22,2029-02-09,Active,,,,,1000ml,,,,,,,Inline,FlexiCap,,
SN-10027,TT/3,Tetra Top 3,Filling,Chilled,CUST-002,Amul Dairy,IN,Gandhinagar Plant 2,2012-03-05,2017-12-03,Active,,,,,1000ml,,,,,,,External,FlexiCap,,
SN-10028,TP/C3,Tetra Pak C3 Homogenizer,Processing,Homogenizer,CUST-001,Amul Dairy,IN,Anand Plant 1,2012-03-17,2014-06-07,Active,,,,,,,5000L/h,,,,,,,400.0,Dual
SN-10029,TT/3,Tetra Top 3,Filling,Chilled,CUST-004,Arla Foods,SE,Stockholm Dairy,2022-01-11,2025-01-31,Active,,,,,500ml,,,,,,,External,TwistCap,,
SN-10030,TP/C3,Tetra Pak C3 Homogenizer,Processing,Homogenizer,CUST-004,Arla Foods,SE,Stockholm Dairy,2011-09-10,2012-11-08,Active,,,,,,,10000L/h,,,,,,,200.0,Single
SN-10031,TT/3,Tetra Top 3,Filling,Chilled,CUST-003,Nestlé Waters,FR,Vittel Factory,2019-02-12,2024-08-11,Active,,,,,500ml,,,,,,,Inline,FlexiCap,,
SN-10032,TBA/22,Tetra Brik Aseptic 22,Filling,Aseptic,CUST-007,Lactalis,FR,Laval Facility,2010-01-18,2012-05-02,Active,,,UltraClean,,500ml,,,,,,,,StreamCap,,
SN-10033,ACC/30,Accumulator 30,Downstream,Distribution,CUST-008,Mother Dairy,IN,Patparganj Delhi,2013-06-22,2016-11-29,Active,,,,,,2.0,,1000.0,,,,,,,
SN-10034,TP/D8,Tetra Pak D8 Separator,Processing,Separation,CUST-001,Amul Dairy,IN,Anand Plant 1,2017-01-13,2010-12-27,Decommissioned,,,,AirTight,,,5000L/h,,External,,,,,,
SN-10035,TBA/22,Tetra Brik Aseptic 22,Filling,Aseptic,CUST-001,Amul Dairy,IN,Anand Plant 1,2021-05-23,2023-02-25,Active,,,Enhanced,,250ml,,,,,,,,HeliCap27,,
SN-10036,A3/SPEED,Tetra Pak A3/Speed,Filling,High-Speed,CUST-002,Amul Dairy,IN,Gandhinagar Plant 2,2022-10-11,2024-09-10,Active,,,SpeedJaw,,200ml,,,,,,,,LightCap30,,
SN-10037,CBP/A8,Cap Application Unit A8,Downstream,Capping,CUST-006,Mengniu Dairy,CN,Hohhot Plant 3,2015-11-07,2019-07-11,Active,HeliCap27,High-Speed,,,,,,,,,,,,,
SN-10038,A3/SPEED,Tetra Pak A3/Speed,Filling,High-Speed,CUST-003,Nestlé Waters,FR,Vittel Factory,2016-09-23,2017-10-31,Active,,,SpeedJaw,,250ml,,,,,,,,StreamCap,,
SN-10039,TP/D8,Tetra Pak D8 Separator,Processing,Separation,CUST-002,Amul Dairy,IN,Gandhinagar Plant 2,2011-08-24,2016-07-22,Active,,,,SemiOpen,,,5000L/h,,Integrated,,,,,,
SN-10040,TT/3,Tetra Top 3,Filling,Chilled,CUST-006,Mengniu Dairy,CN,Hohhot Plant 3,2016-05-23,2017-06-24,Decommissioned,,,,,250ml,,,,,,,External,,,
SN-10041,TCA/67,Tetra Classic Aseptic 67,Filling,Aseptic,CUST-002,Amul Dairy,IN,Gandhinagar Plant 2,2013-01-05,2015-10-03,Active,,,Standard,,100ml,,,,,,,,PullTab,,
SN-10042,TCA/67,Tetra Classic Aseptic 67,Filling,Aseptic,CUST-004,Arla Foods,SE,Stockholm Dairy,2017-09-09,2021-07-03,Active,,,Standard,,65ml,,,,,,,,StrawHole,,
SN-10043,TBA/22,Tetra Brik Aseptic 21,Filling,Aseptic,CUST-007,Lactalis,FR,Laval Facility,2016-03-16,2018-09-02,Active,,,Enhanced,,,,,,,,,,HeliCap23,,
SN-10044,TBA/22,Tetra Brik Aseptic 22,Filling,Aseptic,CUST-008,Mother Dairy,IN,Patparganj Delhi,2022-05-17,2012-09-07,Active,,,Enhanced,,1000ml,,,,,,,,StreamCap,,
SN-10045,ACC/30,Accumulator 30,Downstream,Distribution,CUST-003,Nestlé Waters,FR,Vittel Factory,2022-03-28,2024-11-23,Active,,,,,,2.0,,1000.0,,,,,,,
SN-10046,TBA/22,Tetra Brik Aseptic 22,Filling,Aseptic,CUST-001,Amul Dairy,IN,Anand Plant 1,2016-11-30,2020-04-08,Active,,,UltraClean,,500ml,,,,,,,,HeliCap27,,
SN-10047,CBP/A8,Cap Application Unit A8,Downstream,Capping,CUST-002,Amul Dairy,IN,Gandhinagar Plant 2,2017-12-07,2021-08-02,Active,LightCap30,Standard,,,,,,,,,,,,,
SN-10048,TBA/22,Tetra Brik Aseptic 22,Filling,Aseptic,CUST-007,Lactalis,FR,Laval Facility,2010-07-23,2016-03-04,Active,,,UltraClean,,250ml,,,,,,,,DreamCap26,,
SN-10049,TCA/67,Tetra Classic Aseptic 67,Filling,Aseptic,CUST-003,Nestlé Waters,FR,Vittel Factory,2012-06-04,2015-12-02,Active,,,Standard,,,,,,,,,,PullTab,,
SN-10050,TP/C3,Tetra Pak C3 Homogenizer,Processing,Homogenizer,CUST-006,Mengniu Dairy,CN,Hohhot Plant 3,2016-11-05,2020-01-05,Active,,,,,,,5000L/h,,,,,,,200.0,Single
NEW_SN_1000,TP/D8,Tetra Pak D8 Separator,Processing,Separation,CUST-002,Amul Dairy,IN,Gandhinagar Plant 2,2011-08-24,2016-06-30,Active,,,,SemiOpen,,,5000L/h,,Integrated,,,,,,
NEW_SN_1001,TT/3,Tetra Top 3,Filling,Chilled,CUST-004,Arla Foods,SE,Stockholm Dairy,2022-01-11,2025-01-31,Active,,,,,500ml,,,,,,,External,TwistCap,,
NEW_SN_1002,TBA/21,Tetra Brik Aseptic 21,Filling,Aseptic,CUST-003,Nestlé Waters,FR,Vittel Factory,2013-08-03,2018-11-26,Active,,,Standard,,1000ml,,,,,,,,HeliCap27,,
NEW_SN_1003,TBA/22,Tetra Brik Aseptic 21,Filling,Aseptic,CUST-007,Lactalis,FR,Laval Facility,2016-03-16,2018-09-02,Active,,,Enhanced,,,,,,,,,,HeliCap23,,
NEW_SN_1004,TBA/19,Tetra Brik Aseptic 19,Filling,Aseptic,CUST-004,Arla Foods,SE,Stockholm Dairy,2016-06-28,2021-10-01,Active,,,Standard,,200ml,,,,,,,,HeliCap23,,
NEW_SN_1005,TP/A6,Tetra Pak A6 Pasteurizer,Processing,Heat Treatment,CUST-003,Nestlé Waters,FR,Vittel Factory,2012-11-17,2016-11-06,Decommissioned,,,,,,,15000L/h,,,UHT,Standard,,,,
NEW_SN_1006,TP/D8,Tetra Pak D8 Separator,Processing,Separation,CUST-002,Amul Dairy,IN,Gandhinagar Plant 2,2011-08-24,2016-06-30,Active,,,,SemiOpen,,,5000L/h,,Integrated,,,,,,
NEW_SN_1007,TBA/22,Tetra Brik Aseptic 22,Filling,Aseptic,CUST-001,Amul Dairy,IN,Anand Plant 1,2023-06-08,2025-09-08,Active,,,Enhanced,,500ml,,,,,,,,StreamCap,,
NEW_SN_1008,TP/A6,Tetra Pak A6 Pasteurizer,Processing,Heat Treatment,CUST-008,Mother Dairy,IN,Patparganj Delhi,2012-09-18,2017-07-03,Active,,,,,,,5000L/h,,,HTST,Standard,,,,
NEW_SN_1009,CBP/A8,Cap Application Unit A8,Downstream,Capping,CUST-004,Arla Foods,SE,Stockholm Dairy,2017-04-10,2018-08-19,Active,HeliCap23,Standard,,,,,,,,,,,,,
NEW_SN_1010,CBP/A8,Cap Application Unit A8,Downstream,Capping,CUST-004,Arla Foods,SE,Stockholm Dairy,2017-04-10,2018-08-19,Active,HeliCap23,Standard,,,,,,,,,,,,,
NEW_SN_1011,TP/D8,Tetra Pak D8 Separator,Processing,Separation,CUST-004,Arla Foods,SE,Stockholm Dairy,2023-03-14,2024-11-09,Active,,,,AirTight,,,5000L/h,,Integrated,,,,,,
NEW_SN_1012,A3/SPEED,Tetra Pak A3/Speed,Filling,High-Speed,CUST-002,Amul Dairy,IN,Gandhinagar Plant 2,2022-10-11,2024-09-10,Active,,,SpeedJaw,,200ml,,,,,,,,LightCap30,,
NEW_SN_1013,TT/3,Tetra Top 3,Filling,Chilled,CUST-006,Mengniu Dairy,CN,Hohhot Plant 3,2016-05-23,2017-06-24,Decommissioned,,,,,250ml,,,,,,,External,,,
NEW_SN_1014,TP/D8,Tetra Pak D8 Separator,Processing,Separation,CUST-004,Arla Foods,SE,Stockholm Dairy,2023-03-14,2016-06-30,Active,,,,AirTight,,,5000L/h,,Integrated,,,,,,
NEW_SN_1015,TBA/21,Tetra Brik Aseptic 21,Filling,Aseptic,CUST-004,Arla Foods,SE,Stockholm Dairy,2015-03-21,2018-06-12,Decommissioned,,,Standard,,1000ml,,,,,,,,StreamCap,,
NEW_SN_1016,TP/D8,Tetra Pak D8 Separator,Processing,Separation,CUST-007,Lactalis,FR,Laval Facility,2014-10-02,2019-12-09,Active,,,,SemiOpen,,,5000L/h,,External,,,,,,
NEW_SN_1017,ACC/30,Accumulator 30,Downstream,Distribution,CUST-002,Amul Dairy,IN,Gandhinagar Plant 2,2022-03-26,2016-06-30,Active,,,,,,2.0,,1000.0,,,,,,,
NEW_SN_1018,TP/D8,Tetra Pak D8 Separator,Processing,Separation,CUST-004,Arla Foods,SE,Stockholm Dairy,2023-03-14,2024-11-09,Active,,,,AirTight,,,5000L/h,,Integrated,,,,,,
NEW_SN_1019,TBA/22,Tetra Brik Aseptic 22,Filling,Aseptic,CUST-008,Mother Dairy,IN,Patparganj Delhi,2022-05-17,2012-09-07,Active,,,Enhanced,,1000ml,,,,,,,,StreamCap,,
NEW_SN_1020,TP/C3,Tetra Pak C3 Homogenizer,Processing,Homogenizer,CUST-004,Arla Foods,SE,Stockholm Dairy,2011-09-10,2012-11-08,Active,,,,,,,10000L/h,,,,,,,200.0,Single
NEW_SN_1021,A3/SPEED,Tetra Pak A3/Speed,Filling,High-Speed,CUST-003,Nestlé Waters,FR,Vittel Factory,2016-09-23,2017-10-31,Active,,,SpeedJaw,,250ml,,,,,,,,StreamCap,,
NEW_SN_1022,ACC/30,Accumulator 30,Downstream,Distribution,CUST-002,Amul Dairy,IN,Gandhinagar Plant 2,2022-03-26,2023-08-03,Active,,,,,,2.0,,1000.0,,,,,,,
NEW_SN_1023,TP/A6,Tetra Pak A6 Pasteurizer,Processing,Heat Treatment,CUST-003,Nestlé Waters,FR,Vittel Factory,2012-11-17,2016-11-06,Decommissioned,,,,,,,15000L/h,,,UHT,Standard,,,,
NEW_SN_1024,ACC/30,Accumulator 30,Downstream,Distribution,CUST-008,Mother Dairy,IN,Patparganj Delhi,2013-06-22,2016-11-29,Active,,,,,,2.0,,1000.0,,,,,,,
