service_order_id,equipment_serial,order_date,completion_date,order_type,description,technician_notes,parts_referenced,status
NEW_SO_3002,SN-10042,2022-11-07,2022-11-08,Kit Installation,Kit Installation on Tetra Classic Aseptic 67 at Stockholm Dairy,Technician observed likely prior kit installation; no formal IB update found.,3495770-03004,Technically Complete
NEW_SO_3003,SN-10015,2014-05-27,2014-05-27,Inspection,Inspection on Tetra Brik Aseptic 21 at Vittel Factory,,,Closed
NEW_SO_3004,SN-10031,2019-06-19,2019-06-24,Inspection,Inspection on Tetra Top 3 at Vittel Factory,,,Closed
NEW_SO_3005,SN-10024,2030-10-09,2030-10-17,Kit Installation,Kit Installation on Tetra Pak D8 Separator at Stockholm Dairy,Material number mismatch noted; machine appears to run with converted configuration.,3496400-02001,Technically Complete
NEW_SO_3006,SN-10022,2020-12-02,2020-12-11,Kit Installation,Kit Installation on Tetra Pak D8 Separator at Laval Facility,Installed 3496200-02003 per TB instructions. Validated OK.,3496200-02003,Closed
NEW_SO_3007,NEW_SN_1003,2019-06-19,2019-06-24,Inspection,Inspection on Tetra Top 3 at Vittel Factory,,,Closed
NEW_SO_3008,SN-10030,2017-03-01,2017-03-06,Kit Installation,Kit Installation on Tetra Pak C3 Homogenizer at Stockholm Dairy,Kit installed but validation pending next production run.,3496100-01005,Open
NEW_SO_3009,NEW_SN_1023,2027-01-05,2027-01-15,Upgrade,Upgrade on Tetra Pak A3/Speed at Gandhinagar Plant 2,,3495880-01003,Open
NEW_SO_3010,SN-10014,2018-11-02,,Kit Installation,Kit Installation on Tetra Pak A3/Speed at Laval Facility,Completed installation. Minor alignment adjustment needed post-install.,3496500-01003,Closed
NEW_SO_3011,SN-10036,2023-05-10,2023-05-17,Kit Installation,Kit Installation on Tetra Pak A3/Speed at Gandhinagar Plant 2,Material number mismatch noted; machine appears to run with converted configuration.,3495770-02004,Technically Complete
NEW_SO_3012,NEW_SN_1011,2018-06-10,2018-06-17,Kit Installation,Kit Installation on Tetra Brik Aseptic 22 at Anand Plant 1,"Customer confirmed upgrade applied, but serial linkage not visible in IB.",3496500-01001,Open
NEW_SO_3013,NEW_SN_1001,2024-08-16,2024-08-23,Upgrade,Upgrade on Cap Application Unit A8 at Gandhinagar Plant 2,Verification date stale; recommend manual check before dispatch.,3496500-01004,Open
NEW_SO_3014,SN-10016,2031-12-12,2031-12-21,Preventive Maintenance,Preventive Maintenance on Tetra Pak D8 Separator at Patparganj Delhi,Standard PM completed. All within spec.,,Open
NEW_SO_3015,SN-10027,2016-12-31,2017-01-02,Corrective Maintenance,Corrective Maintenance on Tetra Top 3 at Gandhinagar Plant 2,"Customer confirmed upgrade applied, but serial linkage not visible in IB.",,Open
NEW_SO_3016,NEW_SN_1017,2028-03-02,2028-03-12,Preventive Maintenance,Preventive Maintenance on Tetra Brik Aseptic 21 at Anand Plant 1,Maintenance done per TPMS schedule. No issues found.,,Technically Complete
NEW_SO_3017,NEW_SN_1002,2020-10-06,2020-10-10,Inspection,Inspection on Tetra Pak A3/Speed at Laval Facility,Material number mismatch noted; machine appears to run with converted configuration.,,Open
NEW_SO_3018,NEW_SN_1010,2016-11-19,,Kit Installation,Kit Installation on Cap Application Unit A8 at Gandhinagar Plant 2,Technician observed likely prior kit installation; no formal IB update found.,3495990-01001,Closed
NEW_SO_3019,SN-10004,2029-10-08,2029-10-08,Preventive Maintenance,Preventive Maintenance on Tetra Pak A3/Speed at Stockholm Dairy,Standard PM completed. All within spec.,,Closed
NEW_SO_3020,NEW_SN_1006,2017-03-01,2017-03-06,Kit Installation,Kit Installation on Tetra Pak C3 Homogenizer at Stockholm Dairy,Verification date stale; recommend manual check before dispatch.,3496100-01005,Open
NEW_SO_3021,SN-10026,2031-05-11,2031-05-14,Preventive Maintenance,Preventive Maintenance on Tetra Top 3 at Vittel Factory,PM done. Noted cap applicator showing intermittent faults.,,Open
NEW_SO_3022,NEW_SN_1016,2023-11-21,2023-11-23,Inspection,Inspection on Tetra Pak A3/Speed at Vittel Factory,Verification date stale; recommend manual check before dispatch.,,Closed
NEW_SO_3023,NEW_SN_1022,2028-01-11,2028-01-23,Corrective Maintenance,Corrective Maintenance on Tetra Pak D8 Separator at Stockholm Dairy,CIP cycle failure traced to valve actuator. Temporary fix applied.,,Technically Complete
NEW_SO_3024,NEW_SN_1008,2020-02-02,2020-02-11,Inspection,Inspection on Tetra Classic Aseptic 67 at Stockholm Dairy,,,Closed
NEW_SO_3025,SN-10024,2030-10-09,2030-10-17,Kit Installation,Kit Installation on Tetra Pak D8 Separator at Stockholm Dairy,Applied kit. Old parts removed and returned.,3496400-02001,Technically Complete
NEW_SO_3026,SN-10019,2028-03-04,2028-03-06,Preventive Maintenance,Preventive Maintenance on Tetra Brik Aseptic 22 at Anand Plant 1,Verification date stale; recommend manual check before dispatch.,,Technically Complete
NEW_SO_3027,NEW_SN_1024,2023-11-21,2023-11-23,Inspection,Inspection on Tetra Pak A3/Speed at Vittel Factory,,,Closed
NEW_SO_3028,SN-10009,2020-04-15,2020-04-19,Inspection,Inspection on Tetra Pak C3 Homogenizer at Hohhot Plant 3,,,Closed
NEW_SO_3029,NEW_SN_1011,2024-12-28,2025-01-06,Corrective Maintenance,Corrective Maintenance on Tetra Brik Aseptic 22 at Anand Plant 1,Emergency stop traced to sensor fault. HMI panel showing age.,,Technically Complete
NEW_SO_3030,NEW_SN_1001,2017-02-04,2017-02-13,Kit Installation,Kit Installation on Tetra Brik Aseptic 22 at Gandhinagar Plant 2,Material number mismatch noted; machine appears to run with converted configuration.,3495770-01003,Closed
NEW_SO_3031,SN-10045,2024-07-28,2024-08-08,Upgrade,Upgrade on Accumulator 30 at Vittel Factory,,3495990-01002,Open
NEW_SO_3032,NEW_SN_1011,2017-02-04,2017-02-13,Kit Installation,Kit Installation on Tetra Brik Aseptic 22 at Gandhinagar Plant 2,Kit 3495770-01003 applied. Customer signed off.,3495770-01003,Closed
NEW_SO_3033,SN-10019,2028-03-04,2028-03-06,Preventive Maintenance,Preventive Maintenance on Tetra Brik Aseptic 22 at Anand Plant 1,Routine check OK. Customer asked about available upgrades.,,Technically Complete
NEW_SO_3034,NEW_SN_1013,2018-09-04,2018-09-07,Emergency Repair,Emergency Repair on Tetra Pak D8 Separator at Laval Facility,,,Open
NEW_SO_3035,NEW_SN_1023,2022-03-11,2022-03-17,Inspection,Inspection on Tetra Pak C3 Homogenizer at Stockholm Dairy,,,Closed
NEW_SO_3036,NEW_SN_1011,2029-01-06,2029-01-19,Preventive Maintenance,Preventive Maintenance on Tetra Brik Aseptic 22 at Anand Plant 1,Standard PM completed. All within spec.,,Closed
NEW_SO_3037,NEW_SN_1018,2030-05-25,2030-06-07,Inspection,Inspection on Tetra Top 3 at Stockholm Dairy,Technician observed likely prior kit installation; no formal IB update found.,,Closed
NEW_SO_3038,NEW_SN_1009,2017-02-04,2017-02-13,Kit Installation,Kit Installation on Tetra Brik Aseptic 22 at Gandhinagar Plant 2,Kit 3495770-01003 applied. Customer signed off.,3495770-01003,Closed
NEW_SO_3039,NEW_SN_1024,2023-09-16,2023-09-26,Preventive Maintenance,Preventive Maintenance on Tetra Brik Aseptic 21 at Laval Facility,Routine check OK. Customer asked about available upgrades.,,Technically Complete
NEW_SO_3040,SN-10014,2020-07-09,2020-07-13,Inspection,Inspection on Tetra Pak A3/Speed at Laval Facility,"Customer confirmed upgrade applied, but serial linkage not visible in IB.",,Closed
NEW_SO_3041,NEW_SN_1014,2016-12-10,2016-12-13,Upgrade,Upgrade on Tetra Brik Aseptic 21 at Laval Facility,,3495770-01002,Closed
NEW_SO_3042,SN-10023,2023-06-11,,Preventive Maintenance,Preventive Maintenance on Tetra Pak A6 Pasteurizer at Patparganj Delhi,Standard PM completed. All within spec.,,Technically Complete
NEW_SO_3043,SN-10008,2019-12-10,2019-12-16,Preventive Maintenance,Preventive Maintenance on Tetra Brik Aseptic 19 at Stockholm Dairy,Routine check OK. Customer asked about available upgrades.,,Closed
NEW_SO_3044,NEW_SN_1004,2016-11-19,,Kit Installation,Kit Installation on Cap Application Unit A8 at Gandhinagar Plant 2,Kit 3495990-01001 applied. Customer signed off.,3495990-01001,Closed
NEW_SO_3045,NEW_SN_1001,2029-05-10,,Preventive Maintenance,Preventive Maintenance on Tetra Pak D8 Separator at Patparganj Delhi,Material number mismatch noted; machine appears to run with converted configuration.,,Closed
NEW_SO_3046,NEW_SN_1005,2020-11-10,2020-11-11,Preventive Maintenance,Preventive Maintenance on Accumulator 30 at Patparganj Delhi,PM completed. Recommended servo motor assessment at next visit.,,Technically Complete
NEW_SO_3047,NEW_SN_1015,2023-12-27,2023-12-30,Corrective Maintenance,Corrective Maintenance on Tetra Top 3 at Vittel Factory,Fixed conveyor jam. Belt tensioner needs attention at next PM.,,Closed
NEW_SO_3048,NEW_SN_1018,2017-04-04,2017-04-17,Emergency Repair,Emergency Repair on Tetra Classic Aseptic 67 at Vittel Factory,,,Technically Complete
NEW_SO_3049,SN-10042,2022-11-07,2022-11-08,Kit Installation,Kit Installation on Tetra Classic Aseptic 67 at Stockholm Dairy,Technician observed likely prior kit installation; no formal IB update found.,3495770-03004,Technically Complete
NEW_SO_3050,SN-10016,2030-12-13,2030-12-24,Emergency Repair,Emergency Repair on Tetra Pak D8 Separator at Patparganj Delhi,Verification date stale; recommend manual check before dispatch.,,Closed
NEW_SO_3051,NEW_SN_1004,2020-04-11,2020-04-20,Kit Installation,Kit Installation on Cap Application Unit A8 at Gandhinagar Plant 2,Evidence of partial installation from service log; prerequisite likely present.,3495990-01001,Closed
NEW_SO_3052,NEW_SN_1010,2028-09-22,2028-10-03,Emergency Repair,Emergency Repair on Tetra Pak A3/Speed at Laval Facility,Verification date stale; recommend manual check before dispatch.,,Technically Complete
NEW_SO_3053,NEW_SN_1017,2021-12-17,2021-12-27,Kit Installation,Kit Installation on Tetra Pak A3/Speed at Waikato Processing,Applied kit. Old parts removed and returned.,3496500-01003,Closed
NEW_SO_3054,NEW_SN_1003,2032-04-28,2032-04-30,Corrective Maintenance,Corrective Maintenance on Accumulator 30 at Gandhinagar Plant 2,Emergency stop traced to sensor fault. HMI panel showing age.,,Technically Complete
NEW_SO_3055,SN-10038,2023-11-21,2023-11-23,Inspection,Inspection on Tetra Pak A3/Speed at Vittel Factory,,,Closed
NEW_SO_3056,NEW_SN_1011,2022-10-22,2022-10-27,Kit Installation,Kit Installation on Tetra Pak C3 Homogenizer at Hohhot Plant 3,Kit 3495880-02001 applied. Customer signed off.,3495880-02001,Closed
NEW_SO_3057,SN-10002,2024-04-28,2024-05-09,Corrective Maintenance,Corrective Maintenance on Accumulator 30 at Gandhinagar Plant 2,CIP cycle failure traced to valve actuator. Temporary fix applied.,,Closed
NEW_SO_3058,NEW_SN_1008,2018-03-31,2018-03-31,Inspection,Inspection on Tetra Pak C3 Homogenizer at Stockholm Dairy,,,Closed
NEW_SO_3059,NEW_SN_1016,2030-05-25,2030-06-07,Inspection,Inspection on Tetra Top 3 at Stockholm Dairy,,,Closed
NEW_SO_3060,NEW_SN_1021,2019-03-19,2019-03-27,Kit Installation,Kit Installation on Tetra Brik Aseptic 22 at Anand Plant 1,Kit installed but validation pending next production run.,3495880-01002,Technically Complete
NEW_SO_3061,NEW_SN_1017,2026-09-21,2026-10-03,Inspection,Inspection on Tetra Top 3 at Stockholm Dairy,,,Closed
NEW_SO_3062,SN-10014,2021-08-04,2021-08-12,Preventive Maintenance,Preventive Maintenance on Tetra Pak A3/Speed at Laval Facility,PM completed. Recommended servo motor assessment at next visit.,,Technically Complete
NEW_SO_3063,SN-10042,2025-07-31,,Preventive Maintenance,Preventive Maintenance on Tetra Classic Aseptic 67 at Stockholm Dairy,PM done. Noted cap applicator showing intermittent faults.,,Technically Complete
NEW_SO_3064,SN-10007,2015-08-05,2015-08-09,Inspection,Inspection on Tetra Brik Aseptic 21 at Laval Facility,,,Technically Complete
NEW_SO_3065,NEW_SN_1009,2026-06-27,2026-07-01,Preventive Maintenance,Preventive Maintenance on Tetra Brik Aseptic 22 at Patparganj Delhi,Standard PM completed. All within spec.,,Technically Complete
NEW_SO_3066,SN-10014,2020-07-09,2020-07-13,Inspection,Inspection on Tetra Pak A3/Speed at Laval Facility,Technician observed likely prior kit installation; no formal IB update found.,,Closed
NEW_SO_3067,NEW_SN_1012,2013-01-13,2013-01-17,Kit Installation,Kit Installation on Tetra Classic Aseptic 67 at Vittel Factory,Kit installed but validation pending next production run.,3495770-03004,Closed
NEW_SO_3068,SN-10015,2014-05-27,2014-05-27,Inspection,Inspection on Tetra Brik Aseptic 21 at Vittel Factory,,,Closed
NEW_SO_3069,SN-10029,2025-09-03,2025-09-06,Preventive Maintenance,Preventive Maintenance on Tetra Top 3 at Stockholm Dairy,PM completed. Recommended servo motor assessment at next visit.,,Closed
NEW_SO_3070,NEW_SN_1008,2017-06-09,2017-06-19,Preventive Maintenance,Preventive Maintenance on Tetra Classic Aseptic 67 at Vittel Factory,Routine check OK. Customer asked about available upgrades.,,Closed
NEW_SO_3071,SN-10030,2018-03-31,2018-03-31,Inspection,Inspection on Tetra Pak C3 Homogenizer at Stockholm Dairy,Verification date stale; recommend manual check before dispatch.,,Closed
NEW_SO_3072,SN-10035,2022-02-27,2022-03-03,Preventive Maintenance,Preventive Maintenance on Tetra Brik Aseptic 22 at Anand Plant 1,Maintenance done per TPMS schedule. No issues found.,,Open
NEW_SO_3073,SN-10026,2031-07-06,2031-07-10,Preventive Maintenance,Preventive Maintenance on Tetra Top 3 at Vittel Factory,Maintenance done per TPMS schedule. No issues found.,,Closed
NEW_SO_3074,NEW_SN_1009,2024-07-28,2024-08-08,Upgrade,Upgrade on Accumulator 30 at Vittel Factory,"Customer confirmed upgrade applied, but serial linkage not visible in IB.",3495990-01002,Open
NEW_SO_3075,SN-10049,2017-06-09,2017-06-19,Preventive Maintenance,Preventive Maintenance on Tetra Classic Aseptic 67 at Vittel Factory,Routine check OK. Customer asked about available upgrades.,,Closed
NEW_SO_3076,SN-10011,2025-01-27,,Preventive Maintenance,Preventive Maintenance on Cap Application Unit A8 at Stockholm Dairy,Routine check OK. Customer asked about available upgrades.,,Open
NEW_SO_3077,SN-10019,2028-03-04,2028-03-06,Preventive Maintenance,Preventive Maintenance on Tetra Brik Aseptic 22 at Anand Plant 1,Routine check OK. Customer asked about available upgrades.,,Technically Complete
NEW_SO_3078,SN-10024,2030-10-09,2030-10-17,Kit Installation,Kit Installation on Tetra Pak D8 Separator at Stockholm Dairy,Material number mismatch noted; machine appears to run with converted configuration.,3496400-02001,Technically Complete
NEW_SO_3079,SN-10015,2021-02-16,2021-02-20,Inspection,Inspection on Tetra Brik Aseptic 21 at Vittel Factory,,,Closed
NEW_SO_3080,SN-10025,2026-03-31,2026-04-01,Preventive Maintenance,Preventive Maintenance on Tetra Brik Aseptic 21 at Anand Plant 1,Maintenance done per TPMS schedule. No issues found.,,Closed
NEW_SO_3081,NEW_SN_1018,2021-12-21,,Emergency Repair,Emergency Repair on Tetra Brik Aseptic 19 at Stockholm Dairy,,,Technically Complete
NEW_SO_3082,SN-10007,2015-08-05,2015-08-09,Inspection,Inspection on Tetra Brik Aseptic 21 at Laval Facility,,,Technically Complete
NEW_SO_3083,NEW_SN_1004,2024-11-02,,Corrective Maintenance,Corrective Maintenance on Tetra Top 3 at Vittel Factory,Replaced worn gaskets. Noted jaw system showing wear - recommend safety kit.,,Open
NEW_SO_3084,SN-10018,2017-02-04,2017-02-13,Kit Installation,Kit Installation on Tetra Brik Aseptic 22 at Gandhinagar Plant 2,Kit 3495770-01003 applied. Customer signed off.,3495770-01003,Closed
NEW_SO_3085,NEW_SN_1019,2020-01-27,2020-01-29,Preventive Maintenance,Preventive Maintenance on Cap Application Unit A8 at Stockholm Dairy,Material number mismatch noted; machine appears to run with converted configuration.,,Open
NEW_SO_3086,NEW_SN_1020,2021-11-23,2021-11-30,Preventive Maintenance,Preventive Maintenance on Tetra Classic Aseptic 67 at Vittel Factory,Evidence of partial installation from service log; prerequisite likely present.,,Open
NEW_SO_3087,SN-10031,2026-04-16,2026-04-16,Emergency Repair,Emergency Repair on Tetra Top 3 at Vittel Factory,,,Closed
NEW_SO_3088,SN-10020,2019-01-13,2019-01-15,Preventive Maintenance,Preventive Maintenance on Tetra Classic Aseptic 67 at Stockholm Dairy,"Customer confirmed upgrade applied, but serial linkage not visible in IB.",,Technically Complete
NEW_SO_3089,SN-10025,2022-11-06,2022-11-19,Upgrade,Upgrade on Tetra Brik Aseptic 21 at Anand Plant 1,,3495770-01002,Closed
NEW_SO_3090,NEW_SN_1022,2017-02-28,2017-03-11,Preventive Maintenance,Preventive Maintenance on Tetra Pak C3 Homogenizer at Stockholm Dairy,Routine check OK. Customer asked about available upgrades.,,Technically Complete
NEW_SO_3091,NEW_SN_1018,2020-04-15,2020-04-19,Inspection,Inspection on Tetra Pak C3 Homogenizer at Hohhot Plant 3,Material number mismatch noted; machine appears to run with converted configuration.,,Closed
NEW_SO_3092,SN-10041,2018-03-13,2018-03-26,Kit Installation,Kit Installation on Tetra Classic Aseptic 67 at Gandhinagar Plant 2,Kit 3495770-03004 applied. Customer signed off.,3495770-03004,Open
NEW_SO_3093,NEW_SN_1019,2014-10-17,2014-10-21,Corrective Maintenance,Corrective Maintenance on Tetra Brik Aseptic 21 at Laval Facility,Material number mismatch noted; machine appears to run with converted configuration.,,Technically Complete
NEW_SO_3094,SN-10033,2020-12-13,2020-12-26,Kit Installation,Kit Installation on Accumulator 30 at Patparganj Delhi,Applied kit. Old parts removed and returned.,3495990-01002,Closed
NEW_SO_3095,SN-10043,2023-08-10,2023-08-13,Preventive Maintenance,Preventive Maintenance on Tetra Brik Aseptic 21 at Laval Facility,PM done. Noted cap applicator showing intermittent faults.,,Closed
NEW_SO_3096,SN-10046,2024-09-11,2024-09-14,Corrective Maintenance,Corrective Maintenance on Tetra Brik Aseptic 22 at Anand Plant 1,Material number mismatch noted; machine appears to run with converted configuration.,,Closed
NEW_SO_3097,NEW_SN_1013,2019-04-26,2019-04-30,Kit Installation,Kit Installation on Tetra Pak A3/Flex at Waikato Processing,Material number mismatch noted; machine appears to run with converted configuration.,3495770-02003,Technically Complete
NEW_SO_3098,NEW_SN_1001,2014-12-11,2014-12-19,Emergency Repair,Emergency Repair on Cap Application Unit A8 at Gandhinagar Plant 2,,,Closed
NEW_SO_3099,SN-10004,2029-10-21,2029-10-31,Preventive Maintenance,Preventive Maintenance on Tetra Pak A3/Speed at Stockholm Dairy,Routine check OK. Customer asked about available upgrades.,,Open
